Text,User,Location,Country,Subjectivity,Polarity,Analysis
0," When will recognise our worth? SME’s account for 99% of all UK Biz &amp; contribute £2tn annually. Put simply, f…",sanewland,"Melbourne, Victoria",Australia,0.2285714285714286,0.15,Positive
1," When will recognise our worth? SME’s account for 99% of all UK Biz &amp; contribute £2tn annually. Put simply, f…",sanewland,"Melbourne, Victoria",Australia,0.2285714285714286,0.15,Positive
2, I sincerely request CM and the AP government to ban firecrackers this diwali. The health and safety of our peo…,SRINIVASPENDUR2,"Amaravathi, India",India,0.5,0.5,Positive
3,The church of Santa Maria dell’Isola is one of Tropea’s icons it towers on a promontory facing the Calabria town’s… ,w_aroundItaly,Rome,Italy,0.0,0.0,Neutral
4," Countries with most new coronavirus deaths for Nov 7 (as of 11pm ET)

Top 10

1 USA 1,040
2 India 559
3 Mexico 485…",news_polish,Poland,,0.48484848484848486,0.37878787878787873,Positive
5,"No coronavirus vaccine for common people till 2022, Covid won't vanish, says AIIMS Director Randeep Guleria   ",sunder_barange,"Indore, India",India,0.5,-0.3,Negative
6," BREAKING Minneapolis-St Paul hospitals. ICU capacity is effectively maxed out at 98% in Twin Cities, and 92% statewide. MN…",Janice_Nason,"Colorado, USA",United States of America,0.8,0.6,Positive
7,"How to Stop Covid19 - Choosing the Right Protection ...  Save a life, reTweet plz COVID19… ",GoForHealth,Natural Health Remedies ⬎,,0.5357142857142857,0.2857142857142857,Positive
8," It just keeps getting worse — at a horrifying trajectory. The daily average of new U.S. coronavirus cases has reached 106,…",__sunflxwer,DMV,United States of America,0.4909090909090909,-0.2627272727272727,Negative
9,"Countries with most new coronavirus deaths for Nov 7 (as of 11pm ET)

Top 10

1 USA 1,040
2 India 559
3 Mexico… ",countingcovid,,Italy,0.48484848484848486,0.37878787878787873,Positive
10,"blackstock This is Dr. Nunez-Smith, co-chair of Biden’s coronavirus task force. Need I say more?! 🙌🏿🙌🏿🙌🏿 ",schwarbek,,Italy,0.5,0.625,Positive
11," Joe Biden says ""230 million thousand Americans"" have lost a loved one to the coronavirus.

👀👀 ",vNinTuCX34vKlvQ,台湾,,0.8,0.7,Positive
